Time (sec);Toe;MTP;Heel;Ankle;knee;Hip
2,469;-0,276831913;-0,200788441;-0,029391813;-0,066584053;-0,118893328;-0,139670664
2,485;-0,2768613;-0,200742112;-0,029312344;-0,066631759;-0,11893147;-0,140332202
2,502;-0,276891445;-0,200699685;-0,029247752;-0,06667768;-0,118927111;-0,141079569
2,519;-0,276923865;-0,200655921;-0,029217937;-0,066721797;-0,118883869;-0,141858091
2,536;-0,276964134;-0,200609925;-0,029249711;-0,06676786;-0,118800147;-0,142653489
2,552;-0,277020965;-0,200562544;-0,029371961;-0,066826491;-0,118731148;-0,143463894
2,569;-0,277096868;-0,200514835;-0,029604023;-0,06691111;-0,118890048;-0,144323331
2,586;-0,277166344;-0,200467536;-0,029934803;-0,06701329;-0,119485222;-0,145249315
2,602;-0,277149507;-0,200420945;-0,030306917;-0,067055693;-0,120314092;-0,14617365
2,619;-0,276917611;-0,200374992;-0,030638422;-0,066871305;-0,120877566;-0,146983526
2,636;-0,276402606;-0,200329483;-0,030871913;-0,066342195;-0,12100153;-0,147628764
2,652;-0,275748374;-0,200284234;-0,030996234;-0,06563441;-0,120920032;-0,148199747
2,669;-0,275234296;-0,200239064;-0,031030618;-0,065107396;-0,120854465;-0,148863486
2,686;-0,275003917;-0,200193844;-0,031003819;-0,064926785;-0,120849516;-0,149699245
2,702;-0,274989086;-0,200148569;-0,030942546;-0,064974378;-0,120863934;-0,150642793
2,719;-0,275061378;-0,200103375;-0,030866679;-0,065083433;-0,120856884;-0,151572529
2,736;-0,275141162;-0,200058543;-0,030788597;-0,065177354;-0,12086742;-0,152417923
2,752;-0,275202871;-0,200014416;-0,030714531;-0,065248551;-0,121088331;-0,15319571
2,769;-0,275248907;-0,199971154;-0,030646511;-0,065310732;-0,121705784;-0,153939786
2,786;-0,275288137;-0,199928533;-0,030584162;-0,065373778;-0,122560456;-0,154660215
