Time (ms);Toe;MTP;Heel;Ankle;Knee;Hip
12512;0,552775036888471;0,471398748244866;0,360668238329786;0,422103976008395;0,723346048635179;0,781590795574053
12529;0,553937568714066;0,477705333635573;0,377404369012917;0,441977844620194;0,757397564002702;0,800737692563672
12546;0,555995245606784;0,486828520559865;0,398786510984599;0,465587443623329;0,79246193268461;0,819697231132036
12563;0,560247070129014;0,499938291203437;0,424955589921049;0,493051258751893;0,827557036918419;0,838356340086077
12579;0,569494271981178;0,51821367480068;0,455201644737004;0,523962899996493;0,862123035692362;0,856693641088174
12596;0,587482676918392;0,542823760169764;0,488012793483348;0,557165807808324;0,896121880921409;0,874648888613659
12613;0,61660982265264;0,574531384788251;0,52200451289527;0,591383482730322;0,92975901831454;0,891914290462517
12629;0,65606459316643;0,612845708177791;0,556758465958844;0,626193732742501;0,963090910921886;0,908021917948911
12646;0,702912249834771;0,656081999638797;0,592650065479144;0,662049294817438;0,995879765390207;0,922775923930718
12663;0,754929106348766;0,702598812773337;0,630243755285801;0,699547273843538;1,02770637277546;0,936428764142287
12679;0,811636210801451;0,751842416412512;0,670041411422821;0,739035984702007;1,0581050641758;0,949379001616671
12696;0,87262617455817;0,80411899135548;0,712420300731954;0,78062855901028;1,08663780530198;0,962189742063678
12713;0,936153649981729;0,859624493281372;0,757509527064441;0,824341335804434;1,11303054008911;0,975961641027035
12729;1,00014411265812;0,917927048932188;0,805266695715673;0,870289110513587;1,1373157196744;0,991918119022824
12746;1,0640347144896;0,978244646714039;0,855745723676185;0,918591201199432;1,15977538115398;1,01032462922052
12763;1,12924282878395;1,04004689727425;0,909169285866122;0,969095663395742;1,1806773841354;1,03004992570399
12779;1,1974684550589;1,10334485791172;0,965737201312429;1,02150996111815;1,20003935518606;1,04934444658934
12796;1,26806033803865;1,16835453280117;1,02537202643876;1,07565988546073;1,21765297999389;1,06717477038093
12813;1,33799800683262;1,23479470714372;1,08746893764748;1,13133111657623;1,23334395986161;1,08366747211707
12829;1,40471823739168;1,30149663799694;1,15082535856858;1,18793754876738;1,24717851813722;1,09944769384569
12846;1,46728098987695;1,3665666008467;1,21377153904327;1,24422311158129;1,25944258478045;1,1151106678631
12863;1,52494541882716;1,42766702611261;1,27413888045957;1,29816941528935;1,27058491197841;1,1311416990237
12880;1,57622952733207;1,48234851438588;1,32931816096134;1,34751989371507;1,28126851046938;1,14786411765585
12896;1,61934703137074;1,52856650166328;1,37680503876408;1,39045973040888;1,29239344518694;1,16541470307616
12913;1,65298696725552;1,56509958060218;1,41483984669004;1,4257287953317;1,30492109662949;1,18373490399364
